Order;Family;Genus;OTU;Sum
Glissomonadida;Sandonidae;Sandonidae_X;Otu001;246130
Cryomonadida;Rhogostomidae;Rhogostomidae_X;Otu002;241680
Thaumatomonadida;Thaumatomonadidae;Thaumatomonas;Otu003;82812
Glissomonadida;Sandonidae;Sandona;Otu004;78791
Cercomonadida;Cercomonadidae;Cercomonas;Otu005;69534
Glissomonadida;Glissomonadida_X;Glissomonadida_XX;Otu006;61542
Glissomonadida;Sandonidae;Flectomonas;Otu007;51214
Spongomonadida;Spongomonadidae;Spongomonadidae_X;Otu008;49345
Plasmodiophorida;Plasmodiophorida_X;Woronina;Otu009;47178
Glissomonadida;Allapsidae;Allapsidae_X;Otu010;46442
Glissomonadida;Sandonidae;Sandona;Otu011;45508
Filosa-Imbricatea_X;Filosa-Imbricatea_XX;Filosa-Imbricatea_XXX;Otu012;44958
Glissomonadida;Allapsidae;Allapsidae_X;Otu013;44515
Glissomonadida;Sandonidae;Sandona;Otu014;43970
Glissomonadida;Glissomonadida_X;Glissomonadida_XX;Otu015;42337
Cercomonadida;Cercomonadidae;Eocercomonas;Otu016;41857
Glissomonadida;Sandonidae;Sandonidae_X;Otu017;40926
Glissomonadida;Sandonidae;Sandonidae_X;Otu018;40177
Glissomonadida;Allapsidae;Allapsidae_X;Otu019;40025
Glissomonadida;Allapsidae;Allapsidae_X;Otu020;37134
Cryomonadida;Rhogostomidae;Rhogostomidae_X;Otu021;36183
Cercomonadida;Paracercomonadidae;Nucleocercomonas;Otu022;35678
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu023;31940
Cercomonadida;Cercomonadidae;Cercomonas;Otu024;31268
Euglyphida;Euglyphidae;Euglypha;Otu025;31205
Cryomonadida;Rhogostomidae;Rhogostomidae_X;Otu026;29964
Glissomonadida;Allapsidae;Allapsidae_X;Otu027;29403
Glissomonadida;Sandonidae;Sandonidae_X;Otu028;28358
Cryomonadida;Rhogostomidae;Rhogostomidae_X;Otu029;27937
Glissomonadida;Glissomonadida_X;Glissomonadida_XX;Otu030;27849
Cercomonadida;Paracercomonadidae;Nucleocercomonas;Otu031;27173
Glissomonadida;Glissomonadida_X;Glissomonadida_XX;Otu032;26437
Euglyphida;Trinematidae;Trinematidae_X;Otu033;26308
Euglyphida;Trinematidae;Trinematidae_X;Otu034;26138
Cercomonadida;Cercomonadidae;Eocercomonas;Otu035;24927
Cryomonadida;Rhogostomidae;Rhogostomidae_X;Otu036;24745
Euglyphida;Euglyphidae;Assulina;Otu037;24066
Glissomonadida;Allapsidae;Allapsidae_X;Otu038;23977
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu039;23648
Cercomonadida;Cercomonadidae;Eocercomonas;Otu040;23614
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu041;22510
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu042;21872
Cercozoa_XX;Cercozoa_XXX;Cercozoa_XXXX;Otu043;21531
Glissomonadida;Bodomorphidae;Bodomorpha;Otu044;21419
Glissomonadida;Glissomonadida_X;Glissomonadida_XX;Otu045;21288
Euglyphida;Euglyphidae;Euglypha;Otu046;20436
Glissomonadida;Allapsidae;Allapsidae_X;Otu047;20280
Glissomonadida;Allapsidae;Allapsidae_X;Otu048;20116
Glissomonadida;Sandonidae;Sandonidae_X;Otu049;19241
Cercomonadida;Cercomonadidae;Cercomonas;Otu050;17366
Glissomonadida;Sandonidae;Sandonidae_X;Otu051;17360
Glissomonadida;Allapsidae;Group_Te;Otu052;16936
Spongomonadida;Spongomonadidae;Spongomonadidae_X;Otu053;16814
Cercomonadida;Cercomonadidae;Cercomonadidae_X;Otu054;16445
Cercomonadida;Cercomonadidae;Cercomonadidae_X;Otu055;16294
Euglyphida;Trinematidae;Trinematidae_X;Otu056;16091
Cryomonadida;Rhogostomidae;Rhogostomidae_X;Otu057;15605
Glissomonadida;Allapsidae;Allapsidae_X;Otu058;15123
Glissomonadida;Sandonidae;Neoheteromita;Otu059;15064
Plasmodiophorida;Polymyxa-lineage;Polymyxa;Otu060;15008
Glissomonadida;Glissomonadida_X;Glissomonadida_XX;Otu061;13599
Glissomonadida;Allapsidae;Allapsidae_X;Otu062;13057
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu063;12941
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu064;12305
Plasmodiophorida;S.nasturtii-lineage;Spongospora;Otu065;12276
Spongomonadida;Spongomonadidae;Spongomonas;Otu066;11936
Filosa-Imbricatea_X;Nudifilidae;Nudifila;Otu067;11593
Glissomonadida;Sandonidae;Flectomonas;Otu068;11582
Cryomonadida;Rhogostomidae;Rhogostomidae_X;Otu069;11429
Glissomonadida;Sandonidae;Sandona;Otu070;11124
Euglyphida;Euglyphida_X;Euglyphida_XX;Otu071;11090
Glissomonadida;Glissomonadida_X;Glissomonadida_XX;Otu072;10556
Euglyphida;Euglyphidae;Euglypha;Otu073;10472
Glissomonadida;Sandonidae;Sandonidae_X;Otu074;10400
Cryomonadida;Rhogostomidae;Rhogostomidae_X;Otu075;10024
Cercomonadida;Cercomonadidae;Cercomonas;Otu076;9968
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu077;9944
Thaumatomonadida;Thaumatomonadidae;Thaumatomonas;Otu078;9925
Glissomonadida;Sandonidae;Sandonidae_X;Otu079;9787
Filosa-Imbricatea_X;Filosa-Imbricatea_XX;Filosa-Imbricatea_XXX;Otu080;9572
